gxa_property_name	occurrences_in_contrasts	contrast_property_types	example_values	example_urls	example_accessions	current_handling_or_gap	candidate_inference_field
environmental history	73	FACTOR:39; SAMPLE:34	growth chamber study vs growth chamber study; isolated from host Mus musculus suffering from Schistosomiasis collected 2013, isolated from host Mus musculus collected 2013 vs isolated from host Mus musculus collected 2013; Iraq, N33.760883, E44.40375 vs Iraq, N33.760883, E44.40375	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-10/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-23/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-9/Results	E-ENAD-10; E-ENAD-23; E-ENAD-9	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
clinical treatment	68	FACTOR:49; SAMPLE:19	pre-chemotherapy vs none; two days post-chemotherapy vs none; nocturnal home hemodialysis vs none	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10746/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10746/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-11227/Results	E-GEOD-10746; E-GEOD-10746; E-GEOD-11227	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
plot	63	SAMPLE:63	15, 4, 21 vs 11, 19, 2; 22, 16, 3 vs 1, 12, 20; 4, 15, 21 vs 19, 11, 2	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-128441/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-128441/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-128441/Results	E-GEOD-128441; E-GEOD-128441; E-GEOD-128441	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
fraction	54	FACTOR:43; SAMPLE:11	total RNA vs total RNA; polysomal RNA vs polysomal RNA; total RNA vs total RNA	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-56887/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-68238/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-68238/Results	E-GEOD-56887; E-GEOD-68238; E-GEOD-68238	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
dose	51	FACTOR:27; SAMPLE:24	1 micromolar vs 0 micromolar; 10 micromolar; 5 micromolar vs 0	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-65697/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-68230/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-1483/Results	E-GEOD-65697; E-GEOD-68230; E-MTAB-1483	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
histology	47	FACTOR:43; SAMPLE:4	Invasive ductal carcinoma (IDC) vs Unremarkable breast ducts (Normal); non-response to treatment vs non-response to treatment; response to treatment vs response to treatment	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10780/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-11903/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-11903/Results	E-GEOD-10780; E-GEOD-11903; E-GEOD-11903	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
organism status	45	SAMPLE:45	postmortem vs postmortem; post-mortem vs post-mortem; dead vs dead	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1147/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-12685/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-150316/Results	E-GEOD-1147; E-GEOD-12685; E-GEOD-150316	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
biopsy site	43	FACTOR:23; SAMPLE:20	left, right vs not available, left, right; not available, left, right vs not available, left, right; Brodmann area46 vs Brodmann area46	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21138/Results	E-GEOD-10927; E-GEOD-10927; E-GEOD-21138	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
metastatic site	43	SAMPLE:43	ascitic fluid vs ascitic fluid; not applicable vs not applicable; pleural effusion vs pleural effusion	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-22973/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-22973/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-37827/Results	E-GEOD-22973; E-GEOD-22973; E-GEOD-37827	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
protocol	32	FACTOR:28; SAMPLE:4	synaptoneurosome isolation vs synaptoneurosome isolation; cold ischemia_6h 50min, Warm ischemia_40min, cold ischemia_7h 30min, Warm ischemia_40min, cold ischemia_8h 15min, Warm ischemia_60min, cold ischemia_6h 50min, Warm ischemia_50min; Formalin-fixed paraffin-embedded tissue vs Formalin-fixed paraffin-embedded tissue	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-12685/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-14951/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19249/Results	E-GEOD-12685; E-GEOD-14951; E-GEOD-19249	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
germplasm	30	SAMPLE:30	Col-0 vs Col-0; Ws-2 vs Ws-2; Col-0 vs Col-0	https://www.ebi.ac.uk/gxa/experiments/E-ATMX-20/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-13930/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-14229/Results	E-ATMX-20; E-GEOD-13930; E-GEOD-14229	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
light	29	FACTOR:25; SAMPLE:4	2 days in continuous light plus Red/Far-Red ratio 0.006 vs 2 days in continuous light plus Red/Far-Red ratio 0.006; 3 days in continuous light plus Red/Far-Red ratio 0.006 vs 3 days in continuous light plus Red/Far-Red ratio 0.006; red-light and long-day (0.5 μmole m-2 sec-1) vs dark	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-28297/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-28297/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-30910/Results	E-GEOD-28297; E-GEOD-28297; E-GEOD-30910	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
response to treatment	28	FACTOR:16; SAMPLE:12	yes at 8 week, no at 30 week vs yes at 8 week, no at 30 week; yes at 8 week, yes at 30 week vs yes at 8 week, yes at 30 week; responder vs non responder	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-23597/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-23597/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-27555/Results	E-GEOD-23597; E-GEOD-23597; E-GEOD-27555	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
xenograft	28	SAMPLE:21; FACTOR:7	grown until tumor formation in female CD1 nu/nu mice vs grown until tumor formation in female CD1 nu/nu mice; mixed  HT-29, HT55 and DLD-1 subcutaneous injection until neoplasm formation vs mixed  HT-29, HT55 and DLD-1 subcutaneous injection until neoplasm formation; SK-N-AS neuroblastoma xenografts implanted in nude mouse vs SK-N-AS neuroblastoma xenografts implanted in nude mouse	https://www.ebi.ac.uk/gxa/experiments/E-CURD-115/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-11959/Results	E-CURD-115; E-CURD-116; E-GEOD-11959	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
RNA	26	FACTOR:25; SAMPLE:1	high translation fraction vs high translation fraction; low translation fraction vs low translation fraction; polysomal RNA vs polysomal RNA	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-16738/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-16738/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-20278/Results	E-GEOD-16738; E-GEOD-16738; E-GEOD-20278	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
tumor grading	23	SAMPLE:13; FACTOR:10	T2N2, T3N1, T3N2, T1N1, T2N1, T3N0, T1N0; low grade vs high grade; WHO grade II	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-12452/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-14001/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21354/Results	E-GEOD-12452; E-GEOD-14001; E-GEOD-21354	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
sampling time	21	FACTOR:19; SAMPLE:2	12 hour vs 12 hour; 16 hour vs 16 hour; 20 hour vs 20 hour	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-114188/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-114188/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-114188/Results	E-GEOD-114188; E-GEOD-114188; E-GEOD-114188	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
chromosomal aberration	19	FACTOR:14; SAMPLE:5	45X maternal inherited X chromosome vs normal; 45X maternal inherited X chromosome vs 46XX; 45X paternal inherited X chromosome vs normal	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-46687/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-46687/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-46687/Results	E-GEOD-46687; E-GEOD-46687; E-GEOD-46687	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
karyotype	18	SAMPLE:18	47, XXY vs 46, XY; 46xy 2/10 46xy t(3,14),t(11,20)8/10, 46XY, 46,XX, 46,XY, 5q-,+8 vs 46,XY, 46,XX[21], 47xx +8, 46 x, tr(x,2)(p23,q34), 46xx; 46, XY, 47, XY, +8	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-37258/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-61162/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-63569/Results	E-GEOD-37258; E-GEOD-61162; E-GEOD-63569	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
generation	17	FACTOR:12; SAMPLE:5	F6 inbred generation; cells generated in vitro from blood monocytes vs cells generated in vitro from blood monocytes; litter 1 vs litter 1	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-46050/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-53163/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-6527/Results	E-GEOD-46050; E-GEOD-53163; E-GEOD-6527	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
immunophenotype	17	SAMPLE:13; FACTOR:4	Lgr6-GFP+ Tomato+ Itga6+ vs Lgr6-GFP+ Tomato+ Itga6+; hepatitis B e antigen positive vs hepatitis B e antigen negative; hepatitis B e antigen negative vs hepatitis B e antigen negative	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-171662/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-54747/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-54747/Results	E-GEOD-171662; E-GEOD-54747; E-GEOD-54747	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
estrogen receptor status	16	SAMPLE:13; FACTOR:3	positive vs positive; estrogen receptor positive vs estrogen receptor negative; negative vs negative	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19639/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21947/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-22600/Results	E-GEOD-19639; E-GEOD-21947; E-GEOD-22600	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
population	13	SAMPLE:10; FACTOR:3	early mesodermal progenitors vs undifferentiated cells; CD326 negative CD56 positive cells vs undifferentiated cells; migratory cells vs non-migratory cells	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21668/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21668/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-40750/Results	E-GEOD-21668; E-GEOD-21668; E-GEOD-40750	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
age at diagnosis	12	SAMPLE:12	9.4 year, 8.4 year, 6.2 year, 7.7 year, 8.7 year, 6.5 year, 9.2 year, 8.2 year, 7.2 year, 8.9 year, 9.3 year, 8.6 year, 7.6 year, 9.6 year, 7.3 year, 6.6 year, 6.9 year, 6.3 year, 7.9 year, 8 year, 9.5 year, 8.8 year, 8.5 year, 6.8 year, 9.8 year, 7.8 year, 9 year vs 6.6 year, 8.5 year, 7.8 year, 9.9 year, 8.7 year, 9 year, 9.3 year, 9.7 year, 8 year, 9.2 year; 13.3 year, 14.3 year, 12.3 year, 13.9 year, 12 year, 11.9 year, 16.3 year, 10.3 year, 11.3 year, 16.8 year, 15.3 year, 15.8 year, 16.2 year, 14.2 year, 13.2 year, 15.2 year, 11 year, 12.2 year, 16.9 year, 14.9 year, 15.9 year, 16.7 year, 16.1 year, 11.2 year, 11.5 year, 13.8 year, 11.8 year, 12.1 year, 10.1 year, 10.7 year, 14.4 year, 14.1 year, 12.7 year, 12.4 year, 16.4 year, 10.4 year, 14.6 year, 15 year, 15.6 year, 12.6 year, 11.6 year, 10.6 year, 13.6 year, 16.6 year, 15.5 year, 16.5 year, 13.5 year, 10.2 year, 13 year, 10 year, 12.5 year, 10.5 year, 14.8 year, 10.8 year, 12.8 year, 11.1 year, 13.1 year, 15.1 year, 13.7 year, 15.7 year, 13.4 year, 15.4 year, 11.4 year vs 12.3 year, 12 year, 12.9 year, 15 year, 14.6 year, 15.6 year, 11.6 year, 10.3 year, 15.3 year, 15.8 year, 16.2 year, 14.5 year, 14.2 year, 11 year, 16.9 year, 10.2 year, 13 year, 10 year, 11.5 year, 10.5 year, 12.5 year, 14.8 year, 13.8 year, 10.8 year, 12.8 year, 10.7 year, 13.1 year, 12.7 year, 11.4 year; 2.5 year, 1.8 year, 8.3 year, 3.9 year, 6 year, 7.7 year, 8.4 year, 4.5 year, 7.2 year, 8.8 year, 5.1 year, 6.1 year, 1 year, 2.6 year, 1.6 year vs not applicable	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-101794/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-101794/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-11971/Results	E-GEOD-101794; E-GEOD-101794; E-GEOD-11971	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
cell cycle stage	12	SAMPLE:11; FACTOR:1	G1 phase vs G0 phase; early G1	https://www.ebi.ac.uk/gxa/experiments/E-MEXP-1412/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-9194/Results	E-MEXP-1412; E-MTAB-9194	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
mass	12	SAMPLE:12	250 to 350 gram vs 250 to 350 gram; 5.108 gram, 3.39 gram, 7.117 gram, 7.379 gram, 6.2 gram, 6.52 gram vs 0.86 gram, 1.283 gram, 1.619 gram, 1.308 gram, 1.109 gram, 1.027 gram; 26.255 gram, 26.206 gram, 26.31 gram, 28.387 gram, 26.706 gram, 28.578 gram vs 0.86 gram, 1.283 gram, 1.619 gram, 1.308 gram, 1.109 gram, 1.027 gram	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-22531/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-2782/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-2782/Results	E-GEOD-22531; E-MTAB-2782; E-MTAB-2782	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
rnai	12	FACTOR:12	no explicit value in contrast JSON; no explicit value in contrast JSON; no explicit value in contrast JSON	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10233/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10289/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-12886/Results	E-GEOD-10233; E-GEOD-10289; E-GEOD-12886	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
body mass index	11	SAMPLE:11	27,47, 30,16, 37,24, 29,71, 28,73, 32,01, 33,44, 35,58, 32,74, 41,21, 36,3, 30,09 vs 37,22, 31,5, 40,29, 33,59, 27,17, 27,62, 39,71, 31,89, 32,98, 36,24, 29,24, 27,86; 29,03, 25,47, 32,79, 35,15, 32,65, 31,23, 38,72, 31,9, 34,11, 36,33 vs 37,22, 31,5, 40,29, 33,59, 27,17, 27,62, 39,71, 31,89, 32,98, 36,24, 29,24, 27,86; 29,03, 25,47, 32,79, 31,23, 32,65, 31,9, 34,11, 36,33 vs 37,22, 31,5, 40,29, 33,59, 27,17, 27,62, 39,71, 31,89, 32,98, 36,24, 29,24, 27,86	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19420/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19420/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19420/Results	E-GEOD-19420; E-GEOD-19420; E-GEOD-19420	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
embryo identifier in litter	11	SAMPLE:11	a, c, d, f vs e, f, g, h, i, j, k; h, d, f, g vs b, c; d, h, a vs h, c, e, g	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
female parent genotype	11	SAMPLE:11	1700007K13Rik/+ vs 1700007K13Rik/+; 4933434E20Rik/+ vs 4933434E20Rik/+; Adamts3/+ vs Adamts3/+	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
litter identifier	11	SAMPLE:11	MUEJ64.1, MUEJ52.1 vs MUEJ64.1, MUEJ52.1; MERZ66.1, MERZ91.1, MERZ63.1 vs MERZ66.1, MERZ63.1, MERZ91.1; MUCB51.1 vs MUCB55.1, MUCB51.1, MUCB53.1	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
male parent genotype	11	SAMPLE:11	1700007K13Rik/+ vs 1700007K13Rik/+; 4933434E20Rik/+ vs 4933434E20Rik/+; Adamts3/+ vs Adamts3/+	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
maternal female grandparent genotype	11	SAMPLE:11	+/+ vs +/+; 4933434E20Rik/+, +/+ vs 4933434E20Rik/+, +/+; Adamts3/+ vs Adamts3/+	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
maternal male grandparent genotype	11	SAMPLE:11	1700007K13Rik/+, 1700007K13Rik/170000K13Rik vs 1700007K13Rik/170000K13Rik, 1700007K13Rik/+; 4933434E20Rik/+, +/+ vs 4933434E20Rik/+, +/+; Adamts3/+ vs Adamts3/+	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
paternal female grandparent genotype	11	SAMPLE:11	+/+ vs +/+; 4933434E20Rik/+ vs 4933434E20Rik/+; +/+ vs Adamts3/+, +/+	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
paternal male grandparent genotype	11	SAMPLE:11	1700007K13Rik/170000K13Rik vs 1700007K13Rik/170000K13Rik; +/+ vs +/+; Adamts3/+ vs Adamts3/+	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
ploidy	11	SAMPLE:9; FACTOR:2	diploid vs haploid; tetraploid vs diploid; tetraploid vs tetraploid	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-56465/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-57864/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-8751/Results	E-GEOD-56465; E-GEOD-57864; E-GEOD-8751	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
somite stage	11	SAMPLE:11	21-somite stage, 25-somite stage, 20-somite stage vs 23-somite stage, 22-somite stage, 26-somite stage, 20-somite stage, 25-somite stage; 23-somite stage, 21-somite stage, 24-somite stage, 25-somite stage vs 23-somite stage, 22-somite stage, 25-somite stage; 26-somite stage, 24-somite stage vs 23-somite stage, 24-somite stage, 25-somite stage	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5224/Results	E-MTAB-5224; E-MTAB-5224; E-MTAB-5224	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
hematocrit	10	SAMPLE:10	38.4, 41, 46.2, 41.8 vs 41.1, 41.4, 47.7, 41.25; 43.1, 39.6, 42.6, 39.7 vs 42.1, 43.9, 44.2, 41.8; 41.2, 35.6, 39, 37.9 vs 41.1, 41.4, 47.7, 41.25	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results	E-MTAB-5606; E-MTAB-5606; E-MTAB-5606	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
hemoglobin measurement	10	SAMPLE:10	12.3, 12.9, 12.8, 14.4 vs 13.1, 12.8, 14.5, 12.6; 12.4, 12.3, 13.1, 13.4 vs 13.2, 13.1, 12.8, 13.5; 11.2, 12.1, 11.9, 12.7 vs 13.1, 12.8, 14.5, 12.6	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results	E-MTAB-5606; E-MTAB-5606; E-MTAB-5606	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
platelet count	10	SAMPLE:10	129, 156, 113, 105 vs 211, 334, 286.5, 258; 91, 83, 212, 138 vs 190, 335, 148, 285; 129, 177, 178, 171 vs 211, 334, 286.5, 258	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5606/Results	E-MTAB-5606; E-MTAB-5606; E-MTAB-5606	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
tumor stage	10	SAMPLE:9; FACTOR:1	not available vs not available; 1, 2, 3, 4 vs not available; IIA, IIB, IA, IB, IIIA, IIIB, IV vs --	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-20189/Results	E-GEOD-10927; E-GEOD-10927; E-GEOD-20189	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
